Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C27, C28, C29, C3, C32, C33, C34, C4, C7, C8, C9",1206,13,22uf,
"C15, C16, C17, C18, C20, C35, C36, C38, C39, C40",CP_Elec_8x10,10,100uf,
"C2, C21",0603,2,2.2uf,
"C23, C6",0603,2,10uf,
"D1, D2, D3, D6, D7, D8",D_SOD-123,6,B140-E3,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J2,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
L1,PQ2918,1,47uH,
"Q1, Q2, Q3, Q4",TDSON-8-1,4,CSD18540Q5B,
"R1, R2, R7, R8",0603,4,4.7,
"R11, R3, R4, R5, R6, R9",0603,6,10k,
"R14, R15",0603,2,4.7R,
R16,1206,1,4.7,
"U1, U2",SOP50P490X110-10N,2,LM5106MM/NOPB,
