Designator,Mid X,Mid Y,Rotation,Layer
C1,27.0,26.0,270.0,top
C13,29.6,34.5,270.0,top
C15,16.0,35.25,270.0,top
C16,5.6,23.5,90.0,top
C17,6.0,36.5,180.0,top
C18,16.0,23.5,90.0,top
C2,18.6,4.6,90.0,top
C20,16.0,45.25,180.0,top
C21,33.6,4.6,90.0,top
C23,38.4,3.45,0.0,top
C27,73.0,26.0,270.0,top
C28,78.0,32.0,90.0,top
C29,75.5,26.0,270.0,top
C3,24.5,26.0,270.0,top
C32,78.0,26.0,270.0,top
C33,75.5,32.0,90.0,top
C34,73.0,32.0,90.0,top
C35,84.0,35.25,270.0,top
C36,94.5,23.5,90.0,top
C38,84.0,23.5,90.0,top
C39,94.0,36.5,0.0,top
C4,24.5,32.0,90.0,top
C40,84.0,45.25,0.0,top
C6,23.4,3.45,0.0,top
C7,22.0,26.0,270.0,top
C8,27.0,32.0,90.0,top
C9,22.0,32.0,90.0,top
D1,20.6,4.6,270.0,top
D2,26.2,10.3,90.0,top
D3,23.8,10.3,90.0,top
D6,35.6,4.6,270.0,top
D7,41.2,10.3,90.0,top
D8,38.8,10.3,90.0,top
J2,56.0,8.0,0.0,top
L1,49.85,33.37,0.0,top
Q1,32.0,29.0,90.0,top
Q2,32.0,22.5,270.0,top
Q3,68.0,29.0,270.0,top
Q4,68.0,22.5,90.0,top
R1,28.2,10.3,90.0,top
R11,44.7,5.0,180.0,top
R14,26.6,3.45,180.0,top
R15,41.6,3.45,180.0,top
R16,32.0,34.5,270.0,top
R2,21.8,10.3,90.0,top
R3,23.8,14.3,270.0,top
R4,29.7,5.0,180.0,top
R5,26.2,14.3,270.0,top
R6,38.8,14.3,270.0,top
R7,43.2,10.3,90.0,top
R8,36.8,10.3,90.0,top
R9,41.2,14.3,270.0,top
U1,25.0,6.0,0.0,top
U2,40.0,6.0,0.0,top
